ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Artificial Intelligence,,FOUND
2,Large Language Model,1,FOUND
3,Token,2,FOUND
4,Tokenization,2|3,FOUND
5,Context Window,2|3,FOUND
6,Prompt,2,FOUND
7,Prompt Engineering,2|6,FOUND
8,System Prompt,6|7,FOUND
9,Nondeterminism in LLM Output,2|3,FOUND
10,Hallucination,2|9,FOUND
11,Grounding and Verification,2|10,FOUND
12,Python,,PYTOOL
13,Markdown Formatting,,PLATFORM
14,Terminal Commands,,PLATFORM
15,Directory Navigation,14,PLATFORM
16,Shell Scripting,14|15,PLATFORM
17,Git,,PLATFORM
18,Git Repository Structure,15|17,PLATFORM
19,Version Control Basics,17|18,PLATFORM
20,GitHub Integration,17|18,PLATFORM
21,Visual Studio Code,,PLATFORM
22,VS Code Terminal,14|21,PLATFORM
23,AI Coding Agent,2|7,FOUND
24,Tool Use by Agents,8|23,FOUND
25,Agentic Workflow,23|24,FOUND
26,Human in the Loop,9|25,FOUND
27,Claude Code Interface,14|23,FOUND
28,IDE Agent Integration,21|27,PLATFORM
29,Chat Versus Agent Interfaces,23|27,FOUND
30,Iterative Refinement,7|26,FOUND
31,Intelligent Textbook,1|13,FOUND
32,Level 1 Static Content,13|31,FOUND
33,Level 2 Hyperlinked Content,13|32,FOUND
34,Level 3 Interactive Content,31|33,FOUND
35,Level 4 Adaptive Content,2|34,FOUND
36,Level 5 AI Personalization,2|35,FOUND
37,Five Levels of Intelligence,32|33|34|35|36,FOUND
38,Experience API,31|34,FOUND
39,Learning Record Store,34|38,FOUND
40,Open Educational Resources,13|31,FOUND
41,Creative Commons Licensing,31|40,FOUND
42,Textbook Generation Pipeline,25|31,FOUND
43,Quality Gate,30|42,FOUND
44,MkDocs,13|14,PLATFORM
45,MkDocs Material Theme,13|44,PLATFORM
46,mkdocs.yml Configuration,13|44,PLATFORM
47,Navigation Structure,44|46,PLATFORM
48,Blank Line Before Lists,13|44,PLATFORM
49,Agent Skill,24|25,SKARCH
50,Agent Skills Open Standard,25|49,SKARCH
